DATE,MODEL,IC,T
2004-11-01,AdaBoost,0.3205446971097506,1.703083324347574e-29
2004-11-01,CTEF,0.3467964795221541,2.609842431672452e-34
2004-11-01,DecisionTree,0.3061954897758607,1.2685840744320244e-74
2004-11-01,KNN,0.3024392150001315,5.242642999490558e-26
2004-11-01,LinearRegression,0.3155237556734403,2.6524247838911433e-28
2004-12-01,AdaBoost,0.2551766131634256,4.233736243806427e-19
2004-12-01,CTEF,0.2433127462200127,3.0711593458595497e-17
2004-12-01,DecisionTree,0.2598729021471462,6.65013336325512e-24
2004-12-01,KNN,0.3148638911355465,1.760137304450039e-28
2004-12-01,LinearRegression,0.249948134090175,3.918877242324037e-18
2005-01-01,AdaBoost,0.347786382416005,1.3220926819559242e-35
2005-01-01,CTEF,0.4838774529345816,6.190780042640817e-71
2005-01-01,DecisionTree,0.3097282824680196,2.2545093440828038e-80
2005-01-01,KNN,0.3218850676557584,1.492078252866624e-29
2005-01-01,LinearRegression,0.4164131714218591,1.1926501991118612e-50
2005-02-01,AdaBoost,0.3919067838923671,1.095639528397573e-46
2005-02-01,CTEF,0.3777778069388279,7.681570471474265e-42
2005-02-01,DecisionTree,0.3083505693066399,3.907204321884982e-81
2005-02-01,KNN,0.360510192697701,6.590968485155867e-38
2005-02-01,LinearRegression,0.3606328663038181,6.199988114258991e-38
2005-03-01,AdaBoost,0.3502100203289474,9.998655146578338e-36
2005-03-01,CTEF,0.2834802507242538,3.224272340637651e-23
2005-03-01,DecisionTree,0.3135274800244212,7.28402819422845e-84
2005-03-01,KNN,0.326834080000409,7.908432149840078e-31
2005-03-01,LinearRegression,0.3774571358335635,1.5604455500359395e-41
2005-04-01,AdaBoost,0.3019149193381329,5.9467752796137086e-27
2005-04-01,CTEF,0.3047001133066163,4.279409512015747e-27
2005-04-01,DecisionTree,0.305005317356524,1.0896299065910418e-79
2005-04-01,KNN,0.3833362866842447,1.9265087416702644e-43
2005-04-01,LinearRegression,0.3506501242659686,4.933418563052335e-36
2005-05-01,AdaBoost,0.2774766418284832,9.701653689155932e-23
2005-05-01,CTEF,0.2857039529455389,7.325958604484622e-23
2005-05-01,DecisionTree,0.3034828272920434,6.275042515672981e-75
2005-05-01,KNN,0.2804763076950889,4.855785847595749e-22
2005-05-01,LinearRegression,0.2440771750397188,6.950090557201399e-17
2005-06-01,AdaBoost,0.4095494154254059,1.7104553819375842e-50
2005-06-01,CTEF,0.3701164187599601,7.811076168115927e-40
2005-06-01,DecisionTree,0.39248856069167,3.794805133350364e-50
2005-06-01,KNN,0.3896677711282557,2.1396778232134893e-44
2005-06-01,LinearRegression,0.3132408316373262,2.873597263946999e-28
2005-07-01,AdaBoost,0.2611586437015821,2.1235867219022514e-20
2005-07-01,CTEF,0.3026724522500467,1.0401240523241866e-26
2005-07-01,DecisionTree,0.29654406269978,7.40566086399342e-75
2005-07-01,KNN,0.3319477198350589,3.6147807598175126e-32
2005-07-01,LinearRegression,0.2004900171175,3.289123962976639e-12
2005-08-01,AdaBoost,0.3034521923984575,1.6298526061448495e-27
2005-08-01,CTEF,0.3402005412436062,6.327423101763668e-34
2005-08-01,DecisionTree,0.3109024959891556,6.5435807678976e-81
2005-08-01,KNN,0.3484608218065737,1.2618332980269978e-35
2005-08-01,LinearRegression,0.3006640206590643,2.0439961878774774e-26
2005-09-01,AdaBoost,0.3975460695201698,3.883768710174242e-47
2005-09-01,CTEF,0.3968149538368277,1.8609651395122514e-46
2005-09-01,DecisionTree,0.3174430610491989,5.3456886655783665e-84
2005-09-01,KNN,0.3909608106787887,5.502031153042957e-45
2005-09-01,LinearRegression,0.3595909324907542,1.0270652303213988e-37
2005-10-01,AdaBoost,0.2535995428351628,2.2348646600647304e-19
2005-10-01,CTEF,0.2873175320263075,2.209890917897328e-24
2005-10-01,DecisionTree,0.3106206111536844,1.2333917194648439e-81
2005-10-01,KNN,0.27419065516653,3.115745421587188e-22
2005-10-01,LinearRegression,0.2574247076808372,1.1219563220977704e-19
2005-11-01,AdaBoost,0.3653999220554187,2.083016218759586e-40
2005-11-01,CTEF,0.2987862182146409,8.458395678360635e-26
2005-11-01,DecisionTree,0.3710380112255951,1.5248110002707034e-66
2005-11-01,KNN,0.2691413033296648,5.202022785076937e-21
2005-11-01,LinearRegression,0.2488176924860864,4.521595536965245e-18
2005-12-01,AdaBoost,0.3922975920337929,5.4110078167430216e-46
2005-12-01,CTEF,0.3396741938299449,1.6850206824988296e-33
2005-12-01,DecisionTree,0.3102849078370533,5.6240971161131155e-80
2005-12-01,KNN,0.3208404303145241,8.269499537464382e-30
2005-12-01,LinearRegression,0.2610583634534378,7.516500317803271e-20
2006-01-01,AdaBoost,0.43350112805371,7.21031873730426e-57
2006-01-01,CTEF,0.3405468280439542,2.739026471659015e-33
2006-01-01,DecisionTree,0.30946818765738,8.967197506535475e-79
2006-01-01,KNN,0.3073333792695997,4.933249365889513e-27
2006-01-01,LinearRegression,0.3138315689941118,3.440756478150633e-28
2006-02-01,AdaBoost,0.1939241913089326,1.7403742636208883e-11
2006-02-01,CTEF,0.3041241266083687,9.223753632893072e-27
2006-02-01,DecisionTree,0.3091962458443171,1.7000716954289657e-79
2006-02-01,KNN,0.236195186726286,2.153600607293782e-16
2006-02-01,LinearRegression,0.2875034499540013,6.326336746176791e-24
2006-03-01,AdaBoost,0.3793814078409137,3.066411581203368e-42
2006-03-01,CTEF,0.286985374942961,1.2719771783046949e-23
2006-03-01,DecisionTree,0.3137730471122095,4.6852239098434715e-81
2006-03-01,KNN,0.413471341816013,4.106809308549226e-50
2006-03-01,LinearRegression,0.3009555133256401,6.228296165187866e-26
2006-04-01,AdaBoost,0.3335732104426758,2.8163877353318705e-32
2006-04-01,CTEF,0.4025342838433565,5.096023025364802e-47
2006-04-01,DecisionTree,0.3207248376483813,2.03776863357982e-47
2006-04-01,KNN,0.3221511097924598,1.5372459576120717e-29
2006-04-01,LinearRegression,0.3422328862632516,2.066581105343848e-33
2006-05-01,AdaBoost,0.2250440638161185,4.694519768626851e-15
2006-05-01,CTEF,0.3135938168439527,2.8334573683610908e-28
2006-05-01,DecisionTree,0.3152237625401847,2.669241285626241e-82
2006-05-01,KNN,0.2698955150685006,5.192577826564681e-21
2006-05-01,LinearRegression,0.3275103409773128,7.575727250192782e-31
2006-06-01,AdaBoost,0.3423019891374338,3.895530278088089e-34
2006-06-01,CTEF,0.3536677941573517,3.8834204694228593e-36
2006-06-01,DecisionTree,0.3179595776819598,1.3006664014204306e-83
2006-06-01,KNN,0.3116552447371611,6.751432607546288e-28
2006-06-01,LinearRegression,0.3886643850874524,4.817526932072938e-44
2006-07-01,AdaBoost,0.285349241980194,2.382849522196637e-24
2006-07-01,CTEF,0.3150396713943278,2.8011174333751556e-29
2006-07-01,DecisionTree,0.3094783824567831,3.634342743669868e-80
2006-07-01,KNN,0.2872843545370404,2.447254569124112e-24
2006-07-01,LinearRegression,0.3962406858822717,3.4109028543656754e-47
2006-08-01,AdaBoost,0.1701162166334127,2.651721536123714e-09
2006-08-01,CTEF,0.1585970833376048,4.9886419994017223e-08
2006-08-01,DecisionTree,0.297905304124973,2.86306708679492e-76
2006-08-01,KNN,0.2412109315693938,5.472862587688902e-17
2006-08-01,LinearRegression,0.215110291017617,9.967242109955281e-14
2006-09-01,AdaBoost,0.2330265182912835,2.2880420468512353e-16
2006-09-01,CTEF,0.2546042102524834,1.2143009830305577e-18
2006-09-01,DecisionTree,0.298336213076997,1.6366195777986734e-75
2006-09-01,KNN,0.3123823734112046,8.672259806526859e-28
2006-09-01,LinearRegression,0.3460400480098982,3.3846708221296715e-34
2006-10-01,AdaBoost,0.2531463264282707,2.497289472803394e-21
2006-10-01,CTEF,0.2814602785077499,2.9364956072310654e-23
2006-10-01,DecisionTree,0.2944769543598297,1.4006561826321044e-75
2006-10-01,KNN,0.2648503225812769,1.1867420053320085e-20
2006-10-01,LinearRegression,0.2748937802284233,3.372044226995676e-22
2006-11-01,AdaBoost,0.3249318531184926,1.1675929106516387e-32
2006-11-01,CTEF,0.2887910758635769,3.118128448674856e-24
2006-11-01,DecisionTree,0.3029452876708402,2.000794801020739e-79
2006-11-01,KNN,0.3399434804715792,1.31033607402508e-33
2006-11-01,LinearRegression,0.243829034687879,1.8104261174726906e-17
2006-12-01,AdaBoost,0.3593912953990148,6.378911757331188e-39
2006-12-01,CTEF,0.3155623149320096,6.064289829709464e-29
2006-12-01,DecisionTree,0.2860427835286703,6.734844728991852e-70
2006-12-01,KNN,0.2312753896573054,7.850957914009465e-16
2006-12-01,LinearRegression,0.4119149570477816,1.9150129406383338e-50
2007-01-01,AdaBoost,0.255288527470942,2.6799012277619826e-19
2007-01-01,CTEF,0.2534290336672171,1.4269346761711173e-18
2007-01-01,DecisionTree,0.2942228002376348,2.407372493126174e-75
2007-01-01,KNN,0.3130289117546274,4.650440548803858e-28
2007-01-01,LinearRegression,0.2191027521130793,3.9499640399970046e-14
2007-02-01,AdaBoost,0.334203874326666,2.451941792427599e-35
2007-02-01,CTEF,0.3051512721407563,1.1282755242056247e-26
2007-02-01,DecisionTree,0.2957258906019493,1.2512471920976724e-77
2007-02-01,KNN,0.2910934849527209,2.798128250432143e-24
2007-02-01,LinearRegression,0.3167810067543998,9.903542056345375e-29
2007-03-01,AdaBoost,0.3071192721776167,1.031532682046302e-28
2007-03-01,CTEF,0.3305617090420103,1.164483378022554e-31
2007-03-01,DecisionTree,0.2886868569094625,1.4605614202594306e-74
2007-03-01,KNN,0.3029352572204702,1.532164583917244e-26
2007-03-01,LinearRegression,0.3138605659878462,1.7205753385706763e-28
2007-04-01,AdaBoost,0.2723197148920395,9.615980437768469e-22
2007-04-01,CTEF,0.3300193910310852,3.6589819320396845e-31
2007-04-01,DecisionTree,0.3174117243469529,5.156604585624995e-35
2007-04-01,KNN,0.2629337258289811,7.117298599000021e-20
2007-04-01,LinearRegression,0.2751755894807349,1.056100173880643e-21
2007-05-01,AdaBoost,0.3080241763852048,1.295621329279493e-27
2007-05-01,CTEF,0.3331675978640442,1.850826707417226e-31
2007-05-01,DecisionTree,0.2919840777997626,3.224783735762121e-74
2007-05-01,KNN,0.304664658734697,2.9105928467932576e-26
2007-05-01,LinearRegression,0.2939673835938321,1.820660441014936e-24
2007-06-01,AdaBoost,0.3014453467680064,4.303173363143311e-26
2007-06-01,CTEF,0.3517845618293702,5.873371694382343e-35
2007-06-01,DecisionTree,0.2870390043313022,1.6199526579311017e-70
2007-06-01,KNN,0.3232307229336237,2.1512792770167727e-29
2007-06-01,LinearRegression,0.311368965239204,2.8873654687364128e-27
2007-07-01,AdaBoost,0.3019832423320951,1.5225100896964992e-26
2007-07-01,CTEF,0.3250007554476136,7.748135014852516e-30
2007-07-01,DecisionTree,0.2443361778677153,1.1789219365815633e-22
2007-07-01,KNN,0.3542815146819431,1.4107310989416865e-35
2007-07-01,LinearRegression,0.2641771870877444,8.158661082815559e-20
2007-08-01,AdaBoost,0.2105269494117158,7.568939375894314e-14
2007-08-01,CTEF,0.3029573281341717,2.057406625430686e-27
2007-08-01,DecisionTree,0.2910974596638783,1.4388290331771563e-77
2007-08-01,KNN,0.2272012548301283,1.00319712246376e-15
2007-08-01,LinearRegression,0.2856774081861666,2.1732556223591794e-24
2007-09-01,AdaBoost,0.3699958873368253,4.739657755696285e-42
2007-09-01,CTEF,0.3858727598111953,1.2282627069952013e-45
2007-09-01,DecisionTree,0.3235946718972194,3.694000331552287e-42
2007-09-01,KNN,0.3633575415970477,3.5497808408359748e-40
2007-09-01,LinearRegression,0.2925248834119094,7.728874042830284e-26
2007-10-01,AdaBoost,0.4086262827097682,4.044703504759266e-52
2007-10-01,CTEF,0.3020059734750152,1.2989300716135419e-27
2007-10-01,DecisionTree,0.2903970351069756,1.3406886089547502e-75
2007-10-01,KNN,0.3951323119785208,3.983593355887703e-48
2007-10-01,LinearRegression,0.3128974417137219,1.2372365209540299e-29
2007-11-01,AdaBoost,0.3317063973513888,2.545002903302026e-33
2007-11-01,CTEF,0.3846595369587234,1.6782664547520557e-44
2007-11-01,DecisionTree,0.301185770750988,1.0105896062962722e-80
2007-11-01,KNN,0.3908006217615531,5.196691321648873e-46
2007-11-01,LinearRegression,0.4158503642042701,1.3133784850201255e-52
2007-12-01,AdaBoost,0.4952019802710078,9.3344482718176e-79
2007-12-01,CTEF,0.386333868872849,1.8319530382611e-44
2007-12-01,DecisionTree,0.2921295944378214,4.8413543400151635e-76
2007-12-01,KNN,0.39021624357525,2.099764327713856e-45
2007-12-01,LinearRegression,0.4276228445419052,2.351920856992339e-55
2008-01-01,AdaBoost,0.0922717703715901,0.0011060408972449
2008-01-01,CTEF,0.2208698816093597,6.9460947915738106e-15
2008-01-01,DecisionTree,0.2381833332884752,1.3470718730545442e-22
2008-01-01,KNN,0.1724873509965536,1.524001263325761e-09
2008-01-01,LinearRegression,0.1911801906333514,1.9308267525795864e-11
2008-02-01,AdaBoost,0.4557910849050738,6.648166592791108e-67
2008-02-01,CTEF,0.3954211357845548,3.1776774236381612e-46
2008-02-01,DecisionTree,0.3751071265705943,2.88949609284914e-56
2008-02-01,KNN,0.3554253898110298,6.53785950760367e-37
2008-02-01,LinearRegression,0.2558701873950806,3.482145285202093e-19
2008-03-01,AdaBoost,0.312537385736084,3.5310958479866336e-29
2008-03-01,CTEF,0.3377332003940956,1.2533155899077807e-33
2008-03-01,DecisionTree,0.2938108691047604,3.494761515414138e-77
2008-03-01,KNN,0.3344938556254125,5.865910143540537e-33
2008-03-01,LinearRegression,0.4020450721199321,1.7952099215856558e-48
2008-04-01,AdaBoost,0.2938002977090346,5.684540211761482e-26
2008-04-01,CTEF,0.2854478922630143,5.0827225398609755e-24
2008-04-01,DecisionTree,0.2933540370602508,6.17908437646398e-77
2008-04-01,KNN,0.3417025207255592,1.801620986526344e-34
2008-04-01,LinearRegression,0.2172865980098801,2.814547499874589e-14
2008-05-01,AdaBoost,0.3485036594241027,3.45594438902348e-35
2008-05-01,CTEF,0.4122275662735308,1.0282040706467704e-49
2008-05-01,DecisionTree,0.2959941600195862,1.611859993881395e-76
2008-05-01,KNN,0.3345063265147292,4.631994023558307e-32
2008-05-01,LinearRegression,0.3025880072021906,3.347023320534274e-26
2008-06-01,AdaBoost,0.5440014173005135,1.22513161845561e-106
2008-06-01,CTEF,0.5333303592979537,2.1077849038945982e-94
2008-06-01,DecisionTree,0.2882476991220544,4.377085463642557e-75
2008-06-01,KNN,0.5055385002622353,6.758449335408055e-83
2008-06-01,LinearRegression,0.5070115281114647,1.7923084765904214e-83
2008-07-01,AdaBoost,0.1923159923037121,5.48085970542321e-12
2008-07-01,CTEF,0.1786256197716842,1.9496742199431727e-10
2008-07-01,DecisionTree,0.2472772233571846,2.7140814993375883e-26
2008-07-01,KNN,0.2057146235390232,1.9157522772600705e-13
2008-07-01,LinearRegression,0.230828782301933,1.1999394236194928e-16
2008-08-01,AdaBoost,0.1224791396141684,1.0798260652594273e-05
2008-08-01,CTEF,0.2086009155230056,4.986400867682598e-13
2008-08-01,DecisionTree,0.2879754982402477,3.212001192222612e-66
2008-08-01,KNN,0.1803916194609776,4.79770819876903e-10
2008-08-01,LinearRegression,0.3334150560895038,3.796045965910557e-32
2008-09-01,AdaBoost,0.403862313147879,4.133428312946575e-51
2008-09-01,CTEF,0.1760165653420193,7.962295461698751e-10
2008-09-01,DecisionTree,0.2991739681573681,3.4907258161432564e-78
2008-09-01,KNN,0.2985127845799674,2.3936706378162355e-26
2008-09-01,LinearRegression,0.4540375570606094,9.379644764465209e-64
2008-10-01,AdaBoost,0.4351435867222984,7.54439793795473e-61
2008-10-01,CTEF,0.3200844592249952,9.945673014245362e-31
2008-10-01,DecisionTree,0.2936576395499768,3.9252736929093677e-76
2008-10-01,KNN,0.3962028809637619,6.537034477959195e-48
2008-10-01,LinearRegression,0.4158399708940431,3.2959355010979782e-53
2008-11-01,AdaBoost,0.475622528657824,6.98954436700604e-74
2008-11-01,CTEF,0.3465948008870667,3.060624462108563e-36
2008-11-01,DecisionTree,0.4435085060996979,1.452020009788673e-75
2008-11-01,KNN,0.4077225271981005,4.19965969990485e-51
2008-11-01,LinearRegression,0.4688876927839692,8.144957106010945e-70
2008-12-01,AdaBoost,0.2711151637638412,1.2689739375026414e-22
2008-12-01,CTEF,0.3085130125987966,1.450241585316247e-28
2008-12-01,DecisionTree,0.2930516541419986,8.60443025840276e-31
2008-12-01,KNN,0.2008426623160908,1.4085406598745345e-12
2008-12-01,LinearRegression,0.2810077705146926,1.0210065959219765e-23
2009-01-01,AdaBoost,0.3839028618908474,2.0135240466784376e-44
2009-01-01,CTEF,0.3219271396316012,3.1374626574476322e-30
2009-01-01,DecisionTree,0.3656395414493377,1.8874412227327488e-47
2009-01-01,KNN,0.3431969666439384,1.984168537099524e-34
2009-01-01,LinearRegression,0.2755172382959792,3.5057202191191386e-22
2009-02-01,AdaBoost,0.3926851067487291,3.4362833038230874e-47
2009-02-01,CTEF,0.3182361738748476,5.6089078916716434e-30
2009-02-01,DecisionTree,0.2912079568280324,1.2266261044877938e-73
2009-02-01,KNN,0.3738652312143276,8.624595091670807e-42
2009-02-01,LinearRegression,0.3399172941232475,2.8554637586865387e-34
2009-03-01,AdaBoost,0.205080616259126,4.320790423345242e-13
2009-03-01,CTEF,0.1884042434645102,6.096602796753942e-11
2009-03-01,DecisionTree,0.297426151279447,9.172217251627275e-76
2009-03-01,KNN,0.2468858181976999,5.564973778434968e-18
2009-03-01,LinearRegression,0.2834045214778366,1.7997228953144512e-23
2009-04-01,AdaBoost,0.1636263441917818,8.328779361232947e-09
2009-04-01,CTEF,0.1434284226802401,7.682703621623076e-07
2009-04-01,DecisionTree,0.2999784961651493,1.63064539606873e-76
2009-04-01,KNN,0.2459979423147503,8.956001669529534e-18
2009-04-01,LinearRegression,0.2290269433888641,1.5478699311259509e-15
2009-05-01,AdaBoost,0.3430882721586362,4.430969801844645e-45
2009-05-01,CTEF,0.2891092822339117,2.402203333443062e-24
2009-05-01,DecisionTree,0.3025496696644553,1.5675482743097743e-78
2009-05-01,KNN,0.3023051575082576,1.3727845061627728e-26
2009-05-01,LinearRegression,0.2541130273279928,6.122779032294283e-19
2009-06-01,AdaBoost,0.3734580844852783,2.2866954646826865e-42
2009-06-01,CTEF,0.3665759774904981,9.592086461214216e-40
2009-06-01,DecisionTree,0.2929501717241097,2.110236818434491e-73
2009-06-01,KNN,0.2671365824471712,5.402834934432842e-21
2009-06-01,LinearRegression,0.283201128304088,1.5822551292758044e-23
2009-07-01,AdaBoost,0.2114241874364189,5.9547990016089905e-15
